paper_id,methods,model1,model2,model3,model4,model5,model6
data-driven-approximation-of-parametrized,AutoEncoder,Autoencoder,,,,,
empirical-study-of-deep-learning-for-text,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
identifying-disease-free-chest-x-ray-images,"Residual Connection, Average Pooling, Inception-ResNet-v2-C, Reduction-A, Convolution, Softmax, Inception-ResNet-v2 Reduction-B, Inception-ResNet-v2-A, Max Pooling, Inception-ResNet-v2-B, Inception-ResNet-v2, 1x1 Convolution, ReLU, Dropout",ResNet,,,,,
bolasso-model-consistent-lasso-estimation,Linear Regression,Linear Regression,,,,,
neural-networks-for-modeling-source-code,"Pointer Network, Tanh Activation, LSTM, Sigmoid Activation, Additive Attention, Softmax",LSTM,,,,,
a-review-on-neural-turing-machine,"Content-based Attention, Tanh Activation, LSTM, Sigmoid Activation, Softmax, Location-based Attention, Neural Turing Machine",LSTM,,,,,
ranking-based-autoencoder-for-extreme-multi,AutoEncoder,Autoencoder,,,,,
measuring-the-influence-of-mere-exposure,SVM,SVM,,,,,
at-gan-a-generative-attack-model-for,"GAN, Convolution",GAN,,,,,
asd-diagnet-a-hybrid-learning-approach-for,AutoEncoder,Autoencoder,,,,,
examining-the-capability-of-gans-to-replace,"Leaky ReLU, DCGAN, Convolution, ReLU, Batch Normalization",GAN,DCGAN,,,,
an-empirical-evaluation-of-text,"Weight Tying, Adam, ULMFiT, Dropout, Variational Dropout, Discriminative Fine-Tuning, DropConnect, LSTM, Slanted Triangular Learning Rates, Temporal Activation Regularization, AWD-LSTM, Tanh Activation, Embedding Dropout, fastText, Sigmoid Activation, Activation Regularization, Skip-gram Word2Vec, GloVe",LSTM,,,,,
190408484,"RPN, RoIPool, Softmax, Convolution, Faster R-CNN",CNN,Faster R-CNN,,,,
data-augmentation-using-gans,"SMOTE, GAN, Convolution",GAN,,,,,
advanced-deep-convolutional-neural-network,"DCNN, U-Net, Concatenated Skip Connection, Convolution, Max Pooling, ReLU",CNN,DCNN,,,,
towards-learning-of-filter-level,"Pruning, Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
distributed-generation-of-privacy-preserving,"AutoEncoder, VAE",VAE,Autoencoder,,,,
identifying-cross-country-skiing-techniques,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
estimating-forces-of-robotic-pouring-using-a,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
horseshoe-regularization-for-machine-learning,Linear Regression,Linear Regression,,,,,
time-series-simulation-by-conditional,"GAN, Convolution",GAN,,,,,
treegrad-transferring-tree-ensembles-to,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
d-vae-a-variational-autoencoder-for-directed,"Tanh Activation, LSTM, Sigmoid Activation, AutoEncoder, Softmax",LSTM,Autoencoder,,,,
comparing-machine-learning-models-to-choose,SVM,SVM,,,,,
a-robust-approach-for-securing-audio,SVM,SVM,,,,,
robustness-verification-of-support-vector,SVM,SVM,,,,,
robust-metric-learning-based-on-the-rescaled,SVM,SVM,,,,,
sealion-a-framework-for-neural-network,AutoEncoder,Autoencoder,,,,,
hog-feature-extraction-from-encrypted-images,SVM,SVM,,,,,
softmax-optimizations-for-intel-xeon,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer, Attention Dropout, GELU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, WordPiece, Residual Connection",BERT,Transformer,,,,
190412613,"Dense Connections, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
190412617,SVM,SVM,,,,,
sequence-to-sequence-deep-learning-models-for,"Tanh Activation, LSTM, Sigmoid Activation, SPEED",LSTM,,,,,
high-performance-support-vector-machines-and,SVM,SVM,,,,,
machine-learning-for-classification-of,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
learning-some-popular-gaussian-graphical,Linear Regression,Linear Regression,,,,,
distance-metric-learned-collaborative,VGG-19,VGG,VGG-19,,,,
charbot-a-simple-and-effective-method-for,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
network-representation-learning-consolidation,"WYS, DeepWalk, GraRep, VERSE, SDNE, node2vec, LapEigen, MNMF, HOPE, NetMF, VGAE",SDNE,,,,,
meta-learners-learning-dynamics-are-unlike,"Linear Regression, Tanh Activation, LSTM, Sigmoid Activation",Linear Regression,LSTM,,,,
generalization-ability-of-region-proposal,"DCNN, RPN, RoIPool, Convolution, Softmax, Faster R-CNN",Faster R-CNN,CNN,DCNN,,,
190503406,Gaussian Process,Gaussian Process,,,,,
budgeted-training-rethinking-deep-neural,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
on-graph-classification-networks-datasets-and,GCN,GCN,,,,,
using-syntactical-and-logical-forms-to,"Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer, Attention Dropout, GELU, Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, WordPiece, Residual Connection",BERT,Transformer,,,,
190505700,"Tanh Activation, GRU, LSTM, BiGRU, Sigmoid Activation, BiLSTM",BiGRU,GRU,LSTM,BiLSTM,,
online-anomaly-detection-with-sparse-gaussian,Gaussian Process,Gaussian Process,,,,,
a-deep-learning-approach-to-detecting-volcano,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
predicting-solar-flares-using-a-long-short,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
exploring-helical-dynamos-with-machine,Linear Regression,Linear Regression,,,,,
spatio-temporal-adversarial-learning-for,"AutoEncoder, Convolution",Autoencoder,,,,,
disentangled-attribution-curves-for,"Logistic Regression, Disentangled Attribution Curves",Logistic Regression,,,,,
ae2-nets-autoencoder-in-autoencoder-networks,AutoEncoder,Autoencoder,,,,,
attack-and-anomaly-detection-in-iot-sensors,Logistic Regression,Logistic Regression,,,,,
exploring-bias-in-gan-based-data-augmentation,"GAN, Convolution",GAN,,,,,
a-text-classification-framework-for-simple,SVM,SVM,,,,,
revisiting-graph-neural-networks-all-we-have,Graph Neural Network,GNN,,,,,
robust-variational-autoencoder,"AutoEncoder, VAE",VAE,Autoencoder,,,,
practical-and-consistent-estimation-of-f,AutoEncoder,Autoencoder,,,,,
communication-efficient-distributed-blockwise,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, SGD, Average Pooling",ResNet,,,,,
semi-supervised-gan-for-classification-of,"GAN, Convolution",GAN,,,,,
compactnet-platform-aware-automatic,"Average Pooling, Pointwise Convolution, Convolution, Depthwise Separable Convolution, MobileNetV2, 1x1 Convolution, Depthwise Convolution, Inverted Residual Block, Batch Normalization",LeNet,MobileNetV2,,,,
solving-np-hard-problems-on-graphs-by,"Graph Neural Network, Q-Learning",GNN,Q-Learning,,,,
coset-a-benchmark-for-evaluating-neural,Graph Neural Network,GNN,,,,,
multi-modal-graph-interaction-for-multi-graph,"GCN, Convolution",GCN,,,,,
sparse-sparse-architecture-search-for-cnns-on,"Pruning, Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
deep-ensemble-learning-for-alzheimers-disease,"AutoEncoder, Sparse Autoencoder",Autoencoder,,,,,
the-theory-behind-overfitting-cross,"Early Stopping, SVM",SVM,,,,,
applying-generative-adversarial-networks-to,"GAN, Convolution",GAN,,,,,
menieres-disease-prognosis-by-learning-from,SVM,SVM,,,,,
190600537,"Graph Neural Network, Stochastic Depth",GNN,,,,,
190600939,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
a-study-of-feature-extraction-techniques-for,Logistic Regression,Logistic Regression,,,,,
rthn-a-rnn-transformer-hierarchical-network,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
transfer-learning-with-intelligent-training,"Dense Connections, Convolution, Softmax, VGG, Max Pooling, ReLU, Dropout",VGG,,,,,
corn-leaf-detection-using-region-based,"Global Average Pooling, Residual Block, Convolution, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
farm-land-weed-detection-with-region-based,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Dropout, Kaiming Initialization, Batch Normalization, Residual Connection, Bottleneck Residual Block, ResNet, Average Pooling",ResNet,,,,,
enumeration-of-distinct-support-vectors-for,SVM,SVM,,,,,
data-sketching-for-faster-training-of-machine,Logistic Regression,Logistic Regression,,,,,
the-unreasonable-effectiveness-of-transformer,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
improving-robustness-without-sacrificing,"Tanh Activation, LSTM, Sigmoid Activation, AutoAugment, Cutout",LSTM,,,,,
learning-to-regularize-with-a-variational,"AutoEncoder, VAE",VAE,Autoencoder,,,,
a-general-mathcalon2-hyper-parameter,Gaussian Process,Gaussian Process,,,,,
convai-at-semeval-2019-task-6-offensive,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
fermi-at-semeval-2019-task-6-identifying-and,"Tanh Activation, LSTM, Sigmoid Activation, ELMo, Softmax, BiLSTM, SVM",SVM,ELMo,LSTM,BiLSTM,,
ju_etce_17_21-at-semeval-2019-task-6,"Tanh Activation, LSTM, Sigmoid Activation, GloVe",LSTM,,,,,
ssn_nlp-at-semeval-2019-task-6-offensive,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
dbms-ku-at-semeval-2019-task-9-exploring,Logistic Regression,Logistic Regression,,,,,
naive-bayes-and-bilstm-ensemble-for,"Tanh Activation, LSTM, Sigmoid Activation, BiLSTM",LSTM,BiLSTM,,,,
bam-a-combination-of-deep-and-shallow-models,"Tanh Activation, LSTM, Sigmoid Activation, Max Pooling",LSTM,,,,,
towards-the-data-driven-system-for-rhetorical,SVM,SVM,,,,,
clpsych2019-shared-task-predicting-suicide,SVM,SVM,,,,,
libn3la-lightweight-package-for-neural-nlp,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
federated-ai-lets-a-team-imagine-together,"GAN, Convolution",GAN,,,,,
associative-convolutional-layers,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Residual Connection, Bottleneck Residual Block, Convolution, Residual Block, Softmax, Max Pooling, 1x1 Convolution, ReLU, Dense Block, Kaiming Initialization, Dropout, Batch Normalization",ResNet,DenseNet,,,,
leveraging-bert-for-extractive-text,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
learning-curves-for-deep-neural-networks-a,Gaussian Process,Gaussian Process,,,,,
support-vector-machine-based-fire-outbreak,SVM,SVM,,,,,
automatically-evaluating-balance-a-machine,SVM,SVM,,,,,
qbso-fs-a-reinforcement-learning-based-bee,"Q-Learning, Feature Selection",Q-Learning,,,,,
support-vector-machines-on-the-d-wave-quantum,SVM,SVM,,,,,
model-agnostic-dual-quality-assessment-for,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, LeNet, Residual Connection, Bottleneck Residual Block, Softmax, Residual Block, Convolution, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",LeNet,ResNet,DenseNet,,,
active-generative-adversarial-network-for,"GAN, Convolution",GAN,,,,,
petct-radiomic-sequencer-for-prediction-of,Logistic Regression,Logistic Regression,,,,,
reconciling-utility-and-membership-privacy,"Knowledge Distillation, Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Softmax, Convolution, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",DenseNet,,,,,
using-colorization-as-a-tool-for-automatic,"Colorization, GAN, Convolution",GAN,,,,,
bayesian-optimization-with-binary-auxiliary,Gaussian Process,Gaussian Process,,,,,
lia-latently-invertible-autoencoder-with,"AutoEncoder, GAN, Convolution, VAE",GAN,VAE,Autoencoder,,,
amla-an-automl-framework-for-neural-network,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
hyperopt-sklearn-automatic-hyperparameter,"PCA, SVM",SVM,,,,,
scalable-hyperparameter-optimization-with,Gaussian Process,Gaussian Process,,,,,
alchemy-a-quantum-chemistry-dataset-for,Graph Neural Network,GNN,,,,,
learning-set-equivariant-functions-with-swarm,"Dense Connections, Set Transformer, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
samplefix-learning-to-correct-programs-by,AutoEncoder,Autoencoder,,,,,
molecular-property-prediction-a-multilevel,"Graph Neural Network, SPEED",GNN,,,,,
comparing-semi-parametric-model-learning,Gaussian Process,Gaussian Process,,,,,
learning-to-identify-patients-at-risk-of,Logistic Regression,Logistic Regression,,,,,
system-misuse-detection-via-informed-behavior,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
cascade-attention-guided-residue-learning-gan,"GAN, Convolution",GAN,,,,,
globally-convergent-newton-methods-for-ill,"Logistic Regression, Softmax",Logistic Regression,,,,,
towards-interpretable-deep-extreme-multi,AutoEncoder,Autoencoder,,,,,
protecting-privacy-of-users-in-brain-computer,Linear Regression,Linear Regression,,,,,
learning-multi-party-turn-taking-models-from,SVM,SVM,,,,,
on-a-randomized-multi-block-admm-for-solving,"Linear Regression, SPEED, ADMM, SVM",SVM,Linear Regression,,,,
a-bi-directional-transformer-for-musical,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
heartbeat-classification-fusing-temporal-and,SVM,SVM,,,,,
gaussian-processes-for-analyzing-positioned,Gaussian Process,Gaussian Process,,,,,
deepacid-classification-of-macromolecule-type,"Tanh Activation, GRU, LSTM, Sigmoid Activation, Convolution",GRU,LSTM,,,,
a-stochastic-first-order-method-for-ordered,"SGD, SVM",SVM,,,,,
copula-representations-and-error-surface,"Linear Regression, ReLU",Linear Regression,,,,,
warfarin-dose-estimation-on-multiple-datasets,"Linear Regression, SVM",SVM,Linear Regression,,,,
beyond-imitation-generative-and-variational,AutoEncoder,Autoencoder,,,,,
adaptive-pricing-in-insurance-generalized,Gaussian Process,Gaussian Process,,,,,
activity2vec-learning-adl-embeddings-from,"Tanh Activation, LSTM, Sigmoid Activation, Seq2Seq",Seq2Seq,LSTM,,,,
detecting-and-simulating-artifacts-in-gan,"Cycle Consistency Loss, GAN Least Squares Loss, ReLU, Batch Normalization, Tanh Activation, Residual Connection, CycleGAN, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization, GAN, Convolution, Residual Block",GAN,,,,,
a-neural-turingmachine-for-conditional,"Content-based Attention, Tanh Activation, LSTM, Sigmoid Activation, Softmax, Location-based Attention, Neural Turing Machine",LSTM,,,,,
measuring-the-transferability-of-adversarial,"ResNet, Average Pooling, Dense Connections, Global Average Pooling, VGG, Depthwise Separable Convolution, Depthwise Convolution, Xception, Residual Connection, Bottleneck Residual Block, Pointwise Convolution, Convolution, Softmax, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Dropout, Batch Normalization",Xception,VGG,ResNet,,,
counterfactual-reasoning-for-fair-clinical,AutoEncoder,Autoencoder,,,,,
the-use-of-gaussian-processes-in-system,Gaussian Process,Gaussian Process,,,,,
learning-complex-basis-functions-for,AutoEncoder,Autoencoder,,,,,
natural-adversarial-examples,"Global Average Pooling, Convolution, Residual Block, Max Pooling, 1x1 Convolution, ReLU, Kaiming Initialization, Batch Normalization, Bottleneck Residual Block, Residual Connection, ResNet, Average Pooling",ResNet,,,,,
on-the-steerability-of-generative-adversarial,"GAN, Convolution",GAN,,,,,
latent-adversarial-defence-with-boundary,SVM,SVM,,,,,
the-continuous-bernoulli-fixing-a-pervasive,VAE,VAE,,,,,
metamorphic-testing-of-a-deep-learning-based,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
low-shot-classification-a-comparison-of,"Multi-Head Attention, Temporal Activation Regularization, WordPiece, AWD-LSTM, Residual Connection, Tanh Activation, Embedding Dropout, Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Activation Regularization, Scaled Dot-Product Attention, Softmax, Weight Decay, Weight Tying, Adam, ULMFiT, Dropout, Linear Layer, Variational Dropout, Discriminative Fine-Tuning, Attention Dropout, DropConnect, GELU, LSTM, Dense Connections, Slanted Triangular Learning Rates",BERT,LSTM,,,,
conversational-help-for-task-completion-and,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
design-and-evaluation-of-product-aesthetics-a,AutoEncoder,Autoencoder,,,,,
benchmarking-a-catchment-aware-long-short,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
compositional-deep-learning,"Cycle Consistency Loss, GAN Least Squares Loss, ReLU, Batch Normalization, Tanh Activation, Residual Connection, CycleGAN, Sigmoid Activation, Leaky ReLU, PatchGAN, Instance Normalization, Convolution, Residual Block",GAN,,,,,
emotion-detection-in-text-focusing-on-latent,GRU,GRU,,,,,
latent-function-decomposition-for-forecasting,Gaussian Process,Gaussian Process,,,,,
mid-price-prediction-based-on-machine,"Logistic Regression, Feature Selection",Logistic Regression,,,,,
a-hierarchically-labeled-portuguese-hate,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
nlp-automation-to-read-radiological-reports,Logistic Regression,Logistic Regression,,,,,
arabic-tweet-act-speech-act-recognition-for,SVM,SVM,,,,,
graph-informer-networks-for-molecules,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Convolution, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
is-bert-really-robust-natural-language-attack,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
q-mind-defeating-stealthy-dos-attacks-in-sdn,Q-Learning,Q-Learning,,,,,
detecting-radical-text-over-online-media,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
multi-kernel-capsule-network-for,"Capsule Network, Dropout",Capsule Network,,,,,
airbnb-price-prediction-using-machine,"Linear Regression, k-Means Clustering",Linear Regression,,,,,
featuring-the-topology-with-the-unsupervised,AutoEncoder,Autoencoder,,,,,
mixed-integer-optimization-approach-to,Logistic Regression,Logistic Regression,,,,,
machine-learning-as-ecology,SVM,SVM,,,,,
automl-a-survey-of-the-state-of-the-art,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
quantum-enhanced-least-square-support-vector,SVM,SVM,,,,,
dialogue-act-classification-in-group-chats,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
abnormality-detection-in-musculoskeletal,"Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Softmax, Convolution, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",DenseNet,,,,,
addressing-data-bias-problems-for-chest-x-ray,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
dynamic-region-division-for-adaptive-learning,"YOLOv3, Batch Normalization, Residual Connection, Logistic Regression, Average Pooling, k-Means Clustering, Global Average Pooling, Convolution, Softmax, Darknet-53, 1x1 Convolution",YOLOv3,Logistic Regression,,,,
icebreaker-element-wise-active-information,VAE,VAE,,,,,
cosmological-n-body-simulations-a-challenge,"GAN, Convolution",GAN,,,,,
predicting-eating-events-in-free-living,Logistic Regression,Logistic Regression,,,,,
performing-deep-recurrent-double-q-learning,"Tanh Activation, LSTM, Sigmoid Activation, Q-Learning, Double Q-learning, AlphaZero",Q-Learning,LSTM,,,,
ai-predicts-independent-construction-safety,SVM,SVM,,,,,
understanding-cyber-athletes-behaviour,Logistic Regression,Logistic Regression,,,,,
esports-pro-players-behavior-during-the-game,"Logistic Regression, L1 Regularization",Logistic Regression,,,,,
structural-health-monitoring-of-cantilever,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
towards-linearization-machine-learning,Logistic Regression,Logistic Regression,,,,,
contour-detection-in-cassini-iss-images-based,SVM,SVM,,,,,
adaptive-configuration-oracle-for-online,Gaussian Process,Gaussian Process,,,,,
viability-of-machine-learning-to-reduce,SVM,SVM,,,,,
generator-evaluator-selector-net-a-modular,"Pointer Network, Tanh Activation, LSTM, Sigmoid Activation, Additive Attention, Softmax",LSTM,,,,,
finbert-financial-sentiment-analysis-with-pre,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
on-the-bounds-of-function-approximations,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
improving-automatic-jazz-melody-generation-by,AutoEncoder,Autoencoder,,,,,
white-box-vs-black-box-bayes-optimal,Logistic Regression,Logistic Regression,,,,,
a-concert-planning-tool-for-independent,"Linear Regression, SGD",Linear Regression,,,,,
graph-convolutional-networks-for-road,GCN,GCN,,,,,
credit-card-fraud-detection-using-autoencoder,"Denoising Autoencoder, AutoEncoder",Autoencoder,,,,,
neural-architecture-search-for-joint,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
gadmm-fast-and-communication-efficient,Logistic Regression,Logistic Regression,,,,,
best-practices-for-scientific-research-on,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
regression-clustering-for-improved-accuracy,"Gaussian Process, Linear Regression",Linear Regression,Gaussian Process,,,,
encoders-and-decoders-for-quantum-expander,Q-Learning,Q-Learning,,,,,
robust-logistic-regression-against-attribute,Logistic Regression,Logistic Regression,,,,,
distributed-creation-of-machine-learning,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
machine-learning-accelerates-parameter,Gaussian Process,Gaussian Process,,,,,
super-learning-for-daily-streamflow,Linear Regression,Linear Regression,,,,,
arducode-predictive-framework-for-automation,AutoEncoder,Autoencoder,,,,,
machine-learning-for-stochastic,"GAN, Convolution",GAN,,,,,
evaluating-shallow-and-deep-learning,Logistic Regression,Logistic Regression,,,,,
brain-like-object-recognition-with-high,"Dense Connections, AlexNet, Softmax, Local Response Normalization, Convolution, Max Pooling, 1x1 Convolution, ReLU, Dropout, Grouped Convolution",AlexNet,,,,,
transferable-adversarial-robustness-using,AutoEncoder,Autoencoder,,,,,
i-mad-a-novel-interpretable-malware-detector,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
prediction-of-rare-feature-combinations-in,"WGAN, VAE, Convolution",GAN,VAE,,,,
intelligent-active-queue-management-using,"LSTM, Q-Learning",Q-Learning,LSTM,,,,
adversarial-vulnerability-bounds-for-gaussian,Gaussian Process,Gaussian Process,,,,,
190909816,Logistic Regression,Logistic Regression,,,,,
190909852,"SPEED, SVM",SVM,,,,,
190910086,Graph Neural Network,GNN,,,,,
machine-learning-optimization-algorithms,Logistic Regression,Logistic Regression,,,,,
exploring-graph-neural-networks-for-stock,"Tanh Activation, LSTM, Sigmoid Activation",LSTM,,,,,
supervised-vector-quantized-variational,AutoEncoder,Autoencoder,,,,,
overlapping-community-detection-with-graph-1,Graph Neural Network,GNN,,,,,
unsupervised-image-translation-using,"GAN, Convolution",GAN,,,,,
classification-of-histopathological-biopsy,"Average Pooling, Dense Connections, Global Average Pooling, Concatenated Skip Connection, DenseNet, Softmax, Convolution, Max Pooling, 1x1 Convolution, Dense Block, ReLU, Dropout, Kaiming Initialization, Batch Normalization",DenseNet,,,,,
the-ant-swarm-neuro-evolution-procedure-for,"Tanh Activation, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
churn-prediction-with-sequential-data-and,"Tanh Activation, Logistic Regression, LSTM, Sigmoid Activation",Logistic Regression,LSTM,,,,
hatemonitors-language-agnostic-abuse,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, Dense Connections, Multi-Head Attention, WordPiece, Residual Connection, Layer Normalization, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,,,,,
mgp-atttcn-an-interpretable-machine-learning,Gaussian Process,Gaussian Process,,,,,
appspred-predicting-context-aware-smartphone,Logistic Regression,Logistic Regression,,,,,
blending-diverse-physical-priors-with-neural,"Tanh Activation, LSTM, Sigmoid Activation, Softmax",LSTM,,,,,
labelsens-enabling-real-time-sensor-data,"Tanh Activation, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
false-data-injection-attacks-in-internet-of,"Tanh Activation, GRU, LSTM, Sigmoid Activation",GRU,LSTM,,,,
generative-adversarial-networks-for-failure,"Feedforward Network, InfoGAN, Leaky ReLU, Dense Connections, GAN, Convolution, Softmax, ReLU",GAN,,,,,
pinfer-privacy-preserving-inference-for,"Logistic Regression, SVM",SVM,Logistic Regression,,,,
named-entity-recognition-is-there-a-glass,"Adam, Dropout, Linear Layer, Attention Dropout, GELU, LSTM, Dense Connections, ELMo, BiLSTM, Multi-Head Attention, WordPiece, Residual Connection, Tanh Activation, Layer Normalization, Sigmoid Activation, Linear Warmup With Linear Decay, BERT, Scaled Dot-Product Attention, Softmax, Weight Decay",BERT,ELMo,LSTM,BiLSTM,,
on-tractable-computation-of-expected,Logistic Regression,Logistic Regression,,,,,
torchbeast-a-pytorch-platform-for-distributed,"IMPALA, V-trace, Convolution, Max Pooling, RMSProp, ReLU, TorchBeast, Entropy Regularization, Experience Replay, Residual Connection, Tanh Activation, Gradient Clipping, LSTM, Sigmoid Activation",LSTM,,,,,
instagram-fake-and-automated-account,Logistic Regression,Logistic Regression,,,,,
adversarial-learning-of-deepfakes-in,AutoEncoder,Autoencoder,,,,,
transformers-state-of-the-art-natural,"Dense Connections, Label Smoothing, Transformer, Multi-Head Attention, Residual Connection, Layer Normalization, Scaled Dot-Product Attention, Softmax, Position-Wise Feed-Forward Layer, Adam, ReLU, Absolute Position Encodings, Dropout, BPE, Linear Layer",Transformer,,,,,
